"LEI, MFI code for branches",co2_ch4_n2o_scope_1_3,carbon_intensity,emission_reduction_policy,carbon_neutral_commitment,air_emissions_sox_nox_pm,land_area_affected,biodiversity_protection_actions,fsc_pefc_certified_sourcing,climate_risk_assessment_done,resilience_score,environmental_fines,iso_14001_exists,reporting_quality_score,green_product_revenue,green_buildings_area,resource_efficiency_index,total_energy_consumption,renewable_energy_share,hazardous_waste_generated,recyclable_packaging_share,toxic_spills,waste_recycled_share,water_withdrawal,emf_exposure,gmo_products,ods_emissions,safety_transparency_trials,collective_bargaining_coverage,fair_wage_gap,community_investment,health_impact_score,csr_contribution,customer_satisfaction_score,hiv_program_coverage,human_rights_violations,diversity_representation,child_labor_compliance,indigenous_consent_verification,access_to_services,healthcare_access_employees,animal_welfare_compliance,training_hours,turnover_rate,injury_frequency_rate,contract_compliance,union_membership,product_safety_compliance,responsible_marketing_compliance,supplier_audits,esg_oversight_policy,board_diversity,governance_compliance_score,esg_incentive_bonus,assurance_score,green_financing,ceo_chair_split,auditor_independence_score,ethical_breaches,anti_competitive_violations,corruption_cases,privacy_compliance,financial_inclusion,global_compact_membership,shareholder_rights_score,site_closure_plan,tax_transparency_reporting,lobby_spending,systemic_risk_level,market_price_share,market_value_equity,smallest_shareholder_name,majority_shareholder_shares,minority_shareholder_shares,outstanding_shares,largest_shareholder_pct,majority_shareholder_pct,minority_shareholder_pct,total_shares,military_connection_risk_head,asset_growth_pct,birthdate_risk_head,capital_expenditure,capital_intensity_fixed_asset,cash_and_equivalent,cash_dividend,cash_holding,cash_turnover,operation_complexity,current_ratio,debt_to_equity_ratio,depreciation,dividend_payout_ratio,dividend_per_share,eps,earnings_after_tax,ebit,earnings_quality,financial_expenses,goodwill,gross_sales,human_capital_cost,income_tax,intangible_assets,lag_inventory,lag_net_sales,ln_cash_equivalent,market_price_high,market_price_low,market_price_open,largest_shareholder_name,net_inventory,net_sales,net_working_capital,pe_ratio,reporting_currency,retained_earnings,times_interest_earned,tobins_q,z1,z2,z3,z4,z5,controlling_shareholder_info,incorporation_year,ipo_year,num_business_segments,num_employee,company_name,reporting_year,nace,asset_turnover,capital_intensity,cash_ratio,debt_maturity,debt_to_asset_ratio,operating_leverage,eat_growth,fixed_asset_intensity,gross_profit_margin,lag_cf_operating,net_cf_investing,net_cf_operating,net_profit_margin,pbv,quick_ratio,roa_eat,solvency_ratio,account_receivable,current_asset,current_liabilities,fixed_asset,inventory_turnover,lag_market_price,lag_total_asset,non_current_asset,roe_eat,total_asset,total_debt,total_equity
D1HEB8VEU6D9M8ZUXG17,19.79,5.44,FALSE,,,,FALSE,,TRUE,51.73,72.27,TRUE,63.22,74.97,81.34,55.42,,34.48,15.54,94.05,,16.06,99.52,,,,,63.33,71.3,25.35,66.41,25.73,9.68,72.87,17,21.93,TRUE,FALSE,,78.48,,83.31,61.65,,TRUE,44.57,96.7,TRUE,TRUE,TRUE,51.37,61.95,TRUE,82.51,66.79,TRUE,56.49,,16,36,TRUE,14.85,TRUE,7.68,,,68.51,Low,294941.12,656612.57,,,455928.31,544064.28,795852.73,817655.77,602939.96,,,459347,,423897.01,,835469.39,513670.77,600124.33,,,2.855,4.513,408926.24,272324.79,387481.64,101878.37,785309.41,752107.66,4.876,349612.72,431641.75,,381977.98,173611.71,347432.25,,,362441.7,74672.31,211377.25,867243.24,,,,858478.62,,,635720.8,3.07,,,,,,,Unknown,2005,1997,870469.17,223995.81,N/A,2014,,,,2.71,541512.95,4.378,,411922.18,,,,439209.34,73549.84,415829.89,3.663,2.551,748955.6,4.05,149170.63,896619.66,192906.55,677356.3,,,98283.95,,179210.32,598961.23,612658.48,731033.53
529900ICA8XQYGIKR372,28.17,9.36,TRUE,FALSE,,,FALSE,,FALSE,42.23,4.98,,94.19,,85.63,99.45,13.24,0.53,17.5,14.23,,,36.67,,,,,17.75,89.85,73.05,36.44,63.85,42.62,67.8,24,41.87,,FALSE,36.65,60.54,,,92.75,40.98,FALSE,56.96,56.35,TRUE,TRUE,FALSE,58.8,18.54,FALSE,60.86,37.87,FALSE,64.17,26,32,41,FALSE,12.09,FALSE,74.48,,TRUE,15.2,Medium,74508.42,,,996835.66,903650.29,753108.31,251523.75,70412.84,732254.54,46475.57,,,,338536.89,,,830388.3,966677.63,,,2.947,3.213,289162.21,324224.98,586759.09,356883.55,,444108.12,1.061,439351.99,803676.34,,,704965.73,876943.75,,,180575.39,,892853,579393.07,Alpha Corp,,,107414.05,4.367,Global Holdings,321032.46,0.484,,,,,,,,2019,1978,286072.59,6364.72,Global Holdings,2001,,,,3.751,13955.3,4.017,,,,,,,211462.15,811505.32,0.015,2.511,354732.39,0.435,36102.99,496715.9,571005.04,,,484329.75,710671.16,263701.41,426122.17,,674188.69,142656.83
529900TPGMMB7GRJQB55,74.09,,FALSE,,,,TRUE,,TRUE,51.25,16.2,,89.77,33.98,26.01,79.56,36.71,,55.4,,,50.4,6.87,,,,,30.69,93.06,98.61,33.75,2.36,,23.91,41,,TRUE,FALSE,10.62,12.37,,65.78,87.41,,FALSE,94.28,44.62,FALSE,TRUE,FALSE,16.05,10.41,,44.7,,FALSE,83,5,39,,FALSE,83.09,TRUE,65.33,,TRUE,84.16,,814423.86,308867.01,,877887.61,423638.09,131812.41,892613.96,889065.29,779989.12,767210.02,,100050.52,,215141.31,,720835.58,453893.58,514389.49,,,4.437,1.609,156851.54,16367.64,765293.38,977370.18,374616.42,821582.11,,836205.41,496871.22,,885274.46,637368.37,698898.44,,,969789.04,692622.21,241008.75,807746.79,Unknown,,,32005.52,0.023,,,0.922,,,,,,,Unknown,1984,,127300.73,84831.65,Unknown,1987,,,,2.526,6328.78,,,,,,,243827.12,22185.44,,3.521,3.347,750956.6,3.61,10499.56,944140.79,753395.4,5410.54,,783382.79,848855.54,118633.24,368723.54,763976.12,558382.37,160923.3
529900GZ42KYYPY7HZ06,87.9,88.96,FALSE,TRUE,,,TRUE,,TRUE,12.34,,FALSE,86.21,,66.61,68.99,30.12,,87.12,99.4,,6.15,37.48,,,,,35.74,,53.14,,98.12,84.67,96.41,40,,FALSE,FALSE,41.13,72.51,,74.72,37.91,60.29,TRUE,,,FALSE,FALSE,TRUE,11.31,13.35,FALSE,6.96,,TRUE,59.4,36,,,,77.49,FALSE,82.04,,,45.67,Medium,783041.54,,,,320681.78,862897.39,637669.09,836029.39,493039.28,650572.91,,694507.87,,803792.88,,352451.33,,434142.1,,,,1.389,361673.46,63384.76,685020.92,756354.37,90966.34,18009.37,2.492,468511.03,636275.18,,832351.61,356926.46,651269.69,,,790972.53,,674329.61,382625.22,Pacific Capital,,,325077.25,4.353,Alpha Corp,59856.55,3.247,,,,,,,Global Holdings,1979,1966,875894.96,152053.77,Unknown,2008,,,,4.503,,1.666,,,,,,203493.8,,343957.1,0.698,3.393,956452.67,3.73,287297.5,842301.3,758012.31,,,176997.77,923605.04,,,929382.08,527364.79,835295.93
529900Z9G1PRYZSX4O63,9.5,80.26,FALSE,TRUE,,,FALSE,,TRUE,52.34,22.69,,22.36,32.61,49.89,72.36,48.55,81.95,29.23,23.88,,,,,,,,56.58,25.5,61.73,62.63,10.59,7.39,97.24,,76.88,FALSE,,35.77,0.63,,58.2,62.36,34.3,FALSE,,61.67,FALSE,,TRUE,59.93,19.79,TRUE,26.13,56.17,FALSE,91.66,40,22,32,TRUE,66.41,TRUE,25.57,,TRUE,,Low,331265.39,942774.68,,559893.89,123117.55,573672.85,607614.52,784692.42,748157.84,240108.99,,759686.36,,924305.29,,989360.44,302273.48,334461.07,,,0.374,0.892,366023.67,908571.47,,15861.99,530887.7,583411.35,0.089,,575518.35,,407330.05,679529.2,,,,458209.39,707760.06,882683.96,130741.13,Pacific Capital,,,396442.16,3.823,Global Holdings,381345.32,3.83,,,,,,,Alpha Corp,1959,,417121.88,837146.27,N/A,2002,,,,3.355,880621.95,3.816,,492561.07,,,,595504.57,720497.59,37758.17,1.521,3.689,404913.53,1.899,132395.17,,440385.38,771099.66,,317568.43,243849.18,326277.26,80622.04,,371294.24,209609.52
529900HC8KY7N0HNY191,73.83,,FALSE,FALSE,,,TRUE,,FALSE,59.8,,,82.12,12.93,73.26,64.08,51.36,94.46,36.29,71.75,,29.53,7.22,,,,,91.64,37.56,20.08,16.82,29.09,43.08,21.41,39,88.12,FALSE,TRUE,,,,13.33,37.15,98.07,TRUE,86.87,,TRUE,,TRUE,28.96,59.18,TRUE,5.16,68.03,,87.22,4,43,5,TRUE,62.88,,12.85,,FALSE,42.84,Medium,189739.36,935069.12,,775104.89,782211.83,906364.32,919627.6,761734.78,488768.23,972492.46,,212865.59,,994673.7,,885399.9,553082.94,561836.85,,,2.978,4.001,870781.9,55519.17,398313.74,716486.49,761224.11,975864.08,2.619,183221.43,543636.51,,834968.79,,350614.83,,,485244.65,,,997279.27,Alpha Corp,,,605590.37,,N/A,591994.87,1.241,,,,,,,Global Holdings,2016,1966,561059.1,151702.58,Unknown,1966,,,,1.279,889861.63,1.274,,115547.23,,,,79812.47,805726.92,489673.42,1.691,3.07,621934.97,1.676,592278.82,,335739.3,364500.67,,475272.76,512565.27,814305.9,580325.05,505724.18,377997.91,457030.8
549300HUKIA1IZQHFZ83,38.21,67.88,TRUE,,,,TRUE,,FALSE,,76.06,FALSE,76.68,4.76,94.2,86.61,84.11,77.23,,56.99,,,40.44,,,,,21.05,62.8,61.77,16.08,8.35,85.08,51.34,22,,TRUE,FALSE,88.06,52.67,,88.65,72.14,10.27,TRUE,29.21,53.93,TRUE,FALSE,TRUE,39.25,16.64,,17.63,58.65,TRUE,79.49,15,21,44,FALSE,6.63,,33.08,,FALSE,62.49,Low,967355.17,936950.13,,280704.33,94601.57,634813.46,375743.99,800753.03,95035.69,729768.06,,184642.54,,335975.5,,642957.86,598537.04,870854.65,,,2.078,2.908,74773.27,956987.11,951271.69,636170.51,854244.65,688995.63,2.127,,147945.1,,55903.8,970867.49,,,,486199.41,426783.98,,606746.67,Global Holdings,,,326169.81,,Alpha Corp,529081.64,2.368,,,,,,,N/A,1990,1987,,933082.6,Unknown,1988,,,,1.088,523036.77,3.455,,544244.04,,,,334871.73,878285.69,,3.902,4.377,752313.88,4.916,,389923.33,,503453.57,,204419.13,320676,295902.93,934864.14,999269.52,845742.39,550276.09
529900TKQRJNCFUQI507,58.77,74.78,TRUE,,,,TRUE,,FALSE,51.8,94.9,TRUE,40.13,38.56,18.16,88.28,21.15,7.91,,97.11,,88.99,95.77,,,,,66.57,,,59.08,18.06,97.66,2.11,0,53.7,TRUE,FALSE,86.14,8.59,,83.84,95.54,34.99,,76.49,40.88,FALSE,TRUE,FALSE,47.78,56.03,FALSE,33.77,51.32,FALSE,,46,6,44,FALSE,88.34,TRUE,24.96,,TRUE,0.95,,670958.02,944115.67,,644846.61,692919.31,372623.17,894813.92,911068.86,,755067.12,,584712.36,,579459.86,,739699.05,769533.48,,,,4.423,4.328,468716.68,784087.37,724736.92,290048.41,966797.05,987737.27,2.163,916851.96,600992.31,,707001.25,969835,673336.68,,,540455.94,508564.47,896230.19,970760.37,Unknown,,,944509.66,3.826,Alpha Corp,854412.37,,,,,,,,Alpha Corp,1954,1997,392589.35,779604.43,Global Holdings,,,,,1.223,717965.19,0.73,,593463.32,,,,159909.62,617194.36,545329.57,1.623,3.155,,4.233,385964.37,563893.11,549595.6,50929.84,,787211.84,840001.79,807366.92,858062.53,113136.31,395369.48,846481.66
52990080J4AQ0O07WO29,66.89,13.12,TRUE,FALSE,,,FALSE,,FALSE,25.06,33.35,TRUE,,93.68,4.71,58.05,25.25,6.63,23.72,51.9,,91.9,96.51,,,,,85.27,66.54,20.76,35.55,66.34,35.06,9.19,6,4.09,TRUE,FALSE,43.41,61.8,,26.1,82.69,55.61,FALSE,35.89,29.68,TRUE,FALSE,TRUE,53.65,75.99,,8.7,53.97,,59.99,5,,29,FALSE,52.05,TRUE,79.98,,FALSE,24.36,Medium,153844.72,696185.56,,,103926.76,954572.34,580315.93,,708147.33,384164.49,,669505.2,,554039,,66099.27,948936.75,430169.83,,,1.593,4.327,351361.3,516292.15,358563.97,434513.53,715612.65,171178.04,2.919,759477.71,807792.46,,280194.53,859024.36,849984.97,,,745711.8,254073.67,519556.38,37943.96,Unknown,,,367285,1.327,N/A,898607.76,4.724,,,,,,,N/A,1977,1958,8511.39,231095.4,N/A,1989,,,,,137744.3,1.386,,941799.07,,,,,707736.57,488841.88,4.151,3.425,323238.11,3.695,75303.81,810204.61,,500171.38,,251388.64,978597.02,75236.45,,346372.59,,794164.13
529900L8FZJJC3JGYK56,25.37,15.16,FALSE,TRUE,,,,,FALSE,23.2,,TRUE,34.47,53.91,45.04,17.37,77.44,56.02,15.68,68.35,,95.06,24.73,,,,,15.02,31.13,,24.27,,26.91,67.72,16,26.65,,TRUE,26.28,54.28,,13.77,12.65,92.58,TRUE,46.43,95.02,TRUE,,TRUE,83.64,31.47,TRUE,34.87,70.27,,38.05,8,36,25,FALSE,23.44,FALSE,20.85,,,13.91,Medium,766606.78,998883.71,,,439994.96,975528.62,422254.52,,295506.85,6434.16,,821590.56,,705180.26,,,701858.75,636979.19,,,0.15,4.05,932051.73,935982.41,864516.07,159822.39,665611.77,883623.5,4.709,333821.67,,,900595.95,275510.03,181752.93,,,17471.42,,,695001.24,,,,196123.84,4.531,N/A,,2.184,,,,,,,Global Holdings,2012,1950,915651.13,868715.19,Pacific Capital,2011,,,,4.212,391439.32,4.085,,391379.81,,,,666117.88,4984.02,,1.52,3.462,,3.248,958189.54,,955317.86,302360.33,,783333.12,275170.29,,304166.34,,931801.78,923618.6
