co2_ch4_n2o_scope_1_3,carbon_intensity,emission_reduction_policy,carbon_neutral_commitment,climate_risk_assessment_done,resilience_score,environmental_fines,iso_14001_exists,reporting_quality_score,total_energy_consumption,renewable_energy_share,hazardous_waste_generated,waste_recycled_share,water_withdrawal,collective_bargaining_coverage,fair_wage_gap,customer_satisfaction_score,human_rights_violations,diversity_representation,training_hours,turnover_rate,injury_frequency_rate,esg_oversight_policy,board_diversity,governance_compliance_score,esg_incentive_bonus,assurance_score,ceo_chair_split,auditor_independence_score,ethical_breaches,anti_competitive_violations,corruption_cases,market_value_equity,asset_growth_pct,debt_to_equity_ratio,pe_ratio,net_profit_margin,roa_eat,solvency_ratio,roe_eat
19.79,5.44,0.0,0.0,1.0,51.73,72.27,1.0,63.22,50.05,34.48,15.54,16.06,99.1235,63.33,71.3,9.68,17.0,21.93,83.31,61.65,48.91,1.0,51.37,61.95,1.0,82.51,1.0,56.49,24.0,16.0,36.0,656612.57,459347.0,4.513,2.495,415829.89,748955.6,4.05,179210.32
28.17,9.36,1.0,0.0,0.0,42.23,4.98,0.0,94.19,13.24,1.0298,17.5,48.61,36.67,17.75,89.85,42.62,24.0,41.87,50.44,92.75,40.98,0.0,58.8,18.54,0.0,60.86,0.0,64.17,26.0,32.0,41.0,507706.45,502303.19,3.213,4.367,811505.32,354732.39,0.435,426122.17
74.09,50.39,0.0,0.0,1.0,51.25,16.2,0.0,89.77,36.71,50.24,55.4,50.4,6.87,30.69,93.06,50.32,41.0,49.165000000000006,65.78,87.41,48.91,0.0,16.05,10.41,1.0,44.7,0.0,83.0,5.0,39.0,24.0,308867.01,100050.52,1.609,0.06303,470283.66000000003,750956.6,3.61,368723.54
87.9,88.96,0.0,1.0,1.0,12.34,50.18,0.0,86.21,30.12,50.24,87.12,6.15,37.48,35.74,49.785,84.67,40.0,49.165000000000006,74.72,37.91,60.29,1.0,11.31,13.35,0.0,6.96,1.0,59.4,36.0,23.0,24.0,507706.45,694507.87,1.389,4.353,343957.1,956452.67,3.73,501212.11
9.5,80.26,0.0,1.0,1.0,52.34,22.69,0.0,22.36,48.55,81.95,29.23,48.61,49.94,56.58,25.5,7.39,25.0,76.88,58.2,62.36,34.3,1.0,59.93,19.79,1.0,26.13,0.0,91.66,40.0,22.0,32.0,942774.68,759686.36,0.892,3.823,37758.17,404913.53,1.899,80622.04
73.83,50.39,0.0,0.0,0.0,59.8,50.18,0.0,82.12,51.36,94.46,36.29,29.53,7.22,91.64,37.56,43.08,39.0,88.12,13.33,37.15,98.07,1.0,28.96,59.18,1.0,5.16,1.0,87.22,4.0,43.0,5.0,935069.12,212865.59,4.001,2.495,489673.42,621934.97,1.676,580325.05
38.21,67.88,1.0,0.0,0.0,49.945,76.06,0.0,76.68,84.11,77.23,51.019999999999996,48.61,40.44,21.05,62.8,85.08,22.0,49.165000000000006,88.65,72.14,10.27,1.0,39.25,16.64,1.0,17.63,1.0,79.49,15.0,21.0,44.0,936950.13,184642.54,2.908,2.495,470283.66000000003,752313.88,4.916,934864.14
58.77,74.78,1.0,0.0,0.0,51.8,94.9,1.0,40.13,21.15,7.91,51.019999999999996,88.99,95.77,66.57,49.785,97.66,0.0,53.7,83.84,95.54,34.99,0.0,47.78,56.03,0.0,33.77,0.0,48.96,46.0,6.0,44.0,944115.67,584712.36,4.328,3.826,545329.57,509563.385,4.233,858062.53
66.89,13.12,1.0,0.0,0.0,25.06,33.35,1.0,49.685,25.25,6.63,23.72,91.9,96.51,85.27,66.54,35.06,6.0,4.09,26.1,82.69,55.61,1.0,53.65,75.99,1.0,8.7,1.0,59.99,5.0,23.0,29.0,696185.56,669505.2,4.327,1.327,488841.88,323238.11,3.695,501212.11
25.37,15.16,0.0,1.0,0.0,23.2,50.18,1.0,34.47,77.44,56.02,15.68,95.06,24.73,15.02,31.13,26.91,16.0,26.65,13.77,12.65,92.58,1.0,83.64,31.47,1.0,34.87,1.0,38.05,8.0,36.0,25.0,988027.4428,821590.56,4.05,4.531,470283.66000000003,509563.385,3.248,304166.34
49.26,50.39,1.0,0.0,0.0,49.12,69.02,1.0,43.44,34.0,71.98,48.34,21.28,49.94,47.56,42.48,34.98,0.0,2.18,50.44,57.7,58.96,0.0,71.95,51.385,1.0,23.33,1.0,48.96,29.0,25.0,37.0,943302.94,454900.93,0.81,2.748,949454.37,847532.12,3.935,276572.3
16.06,39.25,1.0,0.0,1.0,91.71,9.33,0.0,17.96,18.45,5.32,51.019999999999996,0.9430999999999999,1.086,28.54,49.785,54.33,39.0,63.27,50.44,13.57,38.4,0.0,96.53,56.83,1.0,98.47,0.0,33.17,12.0,23.0,24.0,385956.39,704656.61,2.075,0.898,470283.66000000003,265247.49,3.437,858337.22
51.94,79.48,0.0,0.0,1.0,87.93,87.16,0.0,84.01,69.15,98.8434,41.07,34.31,91.78,87.44,80.43,26.31,5.0,11.73,89.2,95.52,55.03,1.0,19.78,68.34,1.0,42.13,0.0,48.96,22.0,3.0,16.0,677431.48,93269.04,4.628,4.702,195238.6,261449.42,4.664,659450.45
27.32,34.47,1.0,0.0,0.0,48.31,98.82,0.0,1.1,56.03,18.82,3.28,49.62,10.69,9.51,49.5,66.2,29.0,72.5,70.32,73.85,90.72,0.0,51.35,51.385,1.0,72.55,0.0,70.61,22.0,6.0,45.0,549529.47,351956.38,3.01,4.359,554195.09,509563.385,0.682,839285.12
45.53,13.03,1.0,1.0,1.0,25.35,88.69,1.0,14.3,10.63,50.24,51.019999999999996,60.69,83.78,10.31,95.92,50.32,20.0,31.16,60.61,49.99,26.06,1.0,32.55,53.83,0.0,80.09,1.0,85.44,37.0,6.0,34.0,507706.45,858034.08,2.227,2.425,175608.09,237124.26,2.5635000000000003,599134.28
52.16,50.39,0.0,1.0,0.0,67.62,74.43,1.0,46.48,21.02,61.46,81.44,47.86,49.94,21.42,45.96,50.32,20.0,49.165000000000006,34.79,23.94,5.95,1.0,28.91,54.57,0.0,62.98,0.0,55.23,19.0,20.0,15.0,737481.71,503851.86,4.22,3.617,352949.56,43703.0,2.071,190013.02
5.1,14.11,0.0,0.0,1.0,20.69,55.76,1.0,82.44,65.91,9.91,82.83,29.91,73.63,8.44,51.19,5.2,20.0,18.32,22.74,89.59,50.27,1.0,76.58,75.36,0.0,0.6412,1.0,55.01,8.0,23.0,22.0,831096.99,528331.38,2.801,3.382,337367.07,19667.13,2.342,939545.84
58.1,1.1,0.0,0.0,0.0,69.52,1.1236,0.0,67.36,63.52,50.24,60.31,64.4,14.65,82.23,86.83,56.41,41.0,72.58,35.6,49.99,12.02,0.0,34.35,58.53,1.0,49.56,1.0,48.96,14.0,23.0,0.0,507706.45,134251.51,2.5,0.928,731045.78,165818.33,3.788,822040.56
98.96,50.39,0.0,0.0,1.0,62.45,56.66,1.0,93.58,50.05,15.22,22.63,70.67,90.8,63.49,49.785,24.74,5.0,12.84,51.89,77.47,22.75,1.0,14.18,36.76,0.0,49.56,0.0,7.12,24.0,27.0,24.0,507706.45,502303.19,3.088,2.515,470283.66000000003,596957.12,4.268,988974.613
20.39,99.2095,0.0,0.0,1.0,74.54,46.29,0.0,3.67,18.33,44.51,54.62,29.89,8.35,80.37,41.1,57.57,48.0,49.165000000000006,72.14,57.52,63.12,0.0,65.24,5.95,0.0,49.56,1.0,30.72,31.0,31.0,42.0,720223.2,829182.85,1.156,1.043,162282.77,425398.46,4.29,137347.08
78.21,99.2095,1.0,1.0,1.0,31.45,12.79,0.0,6.7,36.03,66.98,34.45,10.92,32.87,74.93,12.22,4.48,34.0,84.55,12.89,81.12,47.74,1.0,17.12,27.49,0.0,60.86,1.0,0.7149,31.0,12.0,24.0,584283.78,712790.25,4.874,0.06303,914513.3,885103.34,3.664,668733.13
67.7,35.07,1.0,0.0,1.0,85.89,50.18,0.0,73.19,50.05,47.23,51.019999999999996,48.61,99.06,49.855000000000004,18.76,92.73,1.0,56.71,87.73,61.26,3.13,1.0,51.35,89.06,1.0,13.11,0.0,74.07,21.0,24.0,10.0,791886.25,572999.4,3.804,2.261,16128.25,509563.385,1.154,739225.58
53.85,70.42,1.0,0.0,1.0,41.63,60.11,0.0,49.685,50.05,47.24,97.41,0.9430999999999999,10.8,92.0,3.43,36.11,17.0,76.83,46.65,95.38,68.39,1.0,51.35,13.21,0.0,17.08,1.0,95.61,23.0,48.0,21.0,229261.88,739642.64,2.775,1.981,543844.74,37274.5,0.989,501212.11
61.4,61.18,0.0,0.0,1.0,49.945,43.64,1.0,97.92,25.6,86.66,0.6616,48.61,20.98,23.36,37.41,50.32,25.0,94.25,50.44,98.9,45.5,1.0,76.39,51.385,0.0,25.67,0.0,48.96,13.0,14.0,5.0,928588.46,123581.13,2.5,1.697,966125.41,719894.47,0.066,41403.57
1.1913,86.41,0.0,0.0,0.0,49.945,24.87,1.0,48.79,82.2,83.9,34.12,48.61,13.74,24.93,11.03,77.87,34.0,42.48,44.78,28.52,71.62,0.0,27.94,42.42,0.0,26.06,1.0,48.96,28.0,20.0,24.0,544357.48,162076.84,2.162,2.495,982317.33,777864.63,3.081,479134.9
9.34,6.75,1.0,1.0,0.0,49.945,39.01,0.0,76.26,10.04,50.24,29.84,77.41,81.38,26.28,58.27,15.98,25.0,37.5,34.0,22.04,59.5,0.0,85.09,97.56,1.0,46.25,0.0,40.94,21.0,4.0,20.0,126749.92,531666.44,1.008,2.713,612548.26,88526.36,1.723,785335.59
95.12,77.14,1.0,0.0,1.0,56.08,8.45,1.0,22.04,62.88,20.4,36.63,4.11,88.91,21.38,66.25,43.59,39.0,75.59,86.74,79.96,91.4,1.0,82.24,71.35,1.0,47.4,1.0,91.62,43.0,35.0,24.0,634655.58,203359.04,4.196,1.594,927001.2,256370.4,1.056,736071.69
41.78,49.54,1.0,0.0,1.0,42.33,50.18,0.0,89.86,50.05,5.74,51.019999999999996,70.16,58.69,35.49,14.98,80.26,25.0,41.66,47.1,96.26,1.58,1.0,89.44,7.32,1.0,98.65,0.0,79.02,42.0,23.0,24.0,507706.45,502303.19,3.825,3.349,65561.04,827542.1,2.5635000000000003,61387.23
50.075,4.75,1.0,1.0,1.0,57.73,50.05,1.0,64.34,65.28,7.48,96.64,78.4,75.85,96.09,51.45,50.32,39.0,16.65,11.71,49.99,48.91,0.0,24.13,46.12,0.0,65.81,0.0,48.96,1.0,37.0,36.0,79452.95,825694.0,1.667,4.07,640710.32,622860.06,2.024,821114.93
72.16,7.13,0.0,0.0,1.0,38.15,1.1236,1.0,77.36,86.3,50.24,0.6616,44.08,36.99,54.78,4.58,76.77,14.0,72.76,73.49,49.99,48.91,1.0,32.73,61.01,0.0,85.33,0.0,29.8,12.0,22.0,15.0,28899.2,104647.84,1.577,2.495,806172.13,854290.2,2.598,443833.02
82.08,12.83,1.0,1.0,1.0,15.53,97.31,0.0,4.19,86.54,92.49,51.019999999999996,19.05,56.79,96.91,69.96,60.62,33.0,55.44,22.84,49.99,37.09,1.0,63.96,51.385,0.0,14.67,1.0,60.6,36.0,23.0,24.0,833088.77,241305.96,3.614,4.91,129326.62,988581.44,1.589,111950.11
46.99,94.94,0.0,1.0,1.0,71.53,73.0,1.0,55.23,80.69,56.19,10.46,48.61,49.94,97.61,19.97,32.75,25.0,51.07,50.44,28.33,7.1,1.0,20.07,34.08,0.0,32.88,1.0,48.96,32.0,10.0,2.0,237627.0,953424.17,3.205,2.044,56610.54,554743.38,2.5,309183.13
83.77,54.47,0.0,0.0,0.0,50.1,82.38,0.0,80.26,62.58,98.8434,22.67,8.8,82.37,53.7,49.785,50.32,45.0,41.59,35.83,66.27,47.46,1.0,36.07,1.0786,1.0,18.77,1.0,29.43,20.0,48.0,3.0,781096.19,691007.3,4.846,2.495,337058.41,509563.385,2.242,311205.29
84.58,74.7,0.0,0.0,1.0,46.61,4.57,1.0,30.34,9.86,68.07,95.62,67.16,26.31,1.16,13.17,46.22,26.0,88.19,11.38,4.43,12.57,0.0,82.54,55.38,1.0,69.99,1.0,48.96,36.0,23.0,48.0,376065.37,847705.75,0.07,2.495,130259.96,760874.12,1.687,645132.63
34.02,67.07,1.0,1.0,0.0,56.53,98.48,1.0,20.16,50.05,77.3,40.43,85.9,32.09,13.71,85.3,73.95,23.0,65.52,61.97,49.99,48.91,1.0,15.18,3.06,1.0,9.07,0.0,99.0602,27.0,23.0,24.0,99509.18,728788.3,2.5,1.689,523612.96,702343.16,4.424,959344.67
77.15,50.39,0.0,0.0,1.0,74.48,50.18,0.0,36.97,60.85,77.51,51.019999999999996,48.61,39.13,49.2,78.57,7.06,47.0,73.82,50.44,14.83,8.15,1.0,34.39,24.32,0.0,51.9,1.0,85.92,36.0,23.0,36.0,116488.2,610662.99,3.86,1.223,954492.31,685654.45,3.375,646385.51
9.0,72.97,1.0,0.0,0.0,25.41,49.43,1.0,42.22,73.14,45.17,85.94,76.21,25.2,72.88,31.86,31.84,8.0,12.14,14.43,52.71,48.91,0.0,4.51,14.25,0.0,80.76,0.0,11.08,44.0,15.0,48.0,273756.86,546064.57,2.257,0.669,482989.55,117543.46,3.105,877671.31
1.83,29.65,0.0,0.0,1.0,21.72,14.12,0.0,79.65,41.6,6.53,23.94,48.61,72.51,32.02,40.07,95.31,9.0,32.48,22.63,49.29,49.44,1.0,7.16,61.32,0.0,36.2,0.0,54.56,41.0,29.0,23.0,894437.55,738108.23,1.66,0.226,764412.54,509563.385,3.801,869837.85
41.37,50.39,0.0,0.0,0.0,51.32,76.64,0.0,44.19,50.15,16.23,51.019999999999996,98.9446,61.54,34.96,49.785,94.8,1.0,69.54,87.17,61.29,68.01,0.0,44.81,42.39,1.0,70.1,0.0,94.08,44.0,23.0,39.0,250976.96,451358.93,2.916,4.447,648511.33,386520.49,4.542,76632.31
67.97,32.65,0.0,0.0,1.0,61.44,96.72,1.0,6.14,59.1,7.68,88.29,48.61,42.96,9.13,26.7,26.83,25.0,67.48,87.73,49.99,2.78,0.0,47.92,38.69,0.0,72.37,0.0,50.5,16.0,44.0,17.0,507706.45,498815.67,2.869,2.183,912172.01,276034.11,0.076,150405.99
1.1913,9.01,0.0,1.0,1.0,16.54,73.67,0.0,61.62,9.67,49.45,81.46,20.41,4.63,75.17,57.92,34.43,25.0,10.42,50.44,83.05,8.16,1.0,1.2442,84.39,1.0,32.83,1.0,48.96,23.0,0.0,22.0,968644.55,166857.58,4.918,4.262,340305.67,783051.22,1.113,814430.06
42.56,50.39,0.0,0.0,1.0,1.73,79.33,0.0,49.685,80.08,32.23,90.19,36.14,93.45,2.92,82.8,58.29,19.0,49.165000000000006,89.92,29.42,82.06,0.0,61.09,35.72,0.0,75.61,1.0,90.19,33.0,41.0,40.0,188997.66,279679.87,1.116,2.304,523238.82,645779.76,3.917,852962.13
78.18,50.39,0.0,0.0,1.0,77.37,51.69,0.0,41.43,83.18,42.73,41.56,9.07,49.94,66.71,59.28,98.37,10.0,94.66,62.54,76.61,25.68,1.0,51.35,82.89,0.0,67.83,0.0,98.51,14.0,23.0,3.0,303427.04,761811.94,2.052,4.908,108447.21,737986.43,1.631,501212.11
21.82,97.57,1.0,0.0,1.0,78.27,93.43,0.0,60.58,47.8,11.06,16.72,56.24,63.82,1.03,47.05,54.53,2.0,33.81,50.44,47.37,28.55,1.0,69.84,6.3,0.0,60.81,0.0,54.34,45.0,23.0,45.0,507706.45,853625.11,3.519,2.495,323507.9,509563.385,3.84,674288.22
82.3,50.39,1.0,0.0,0.0,49.945,39.24,0.0,41.33,75.62,50.24,52.1,48.61,58.92,49.55,29.21,38.01,44.0,91.6,26.27,17.57,31.76,0.0,77.61,6.8,0.0,77.01,1.0,84.58,39.0,33.0,3.0,890825.18,618206.85,2.5,1.495,470283.66000000003,509563.385,4.264,956006.03
57.94,2.46,0.0,0.0,1.0,54.12,78.29,0.0,44.12,58.92,85.28,94.04,73.04,22.7,20.87,49.785,3.74,25.0,49.165000000000006,7.54,49.99,48.91,1.0,52.65,57.29,0.0,96.41,1.0,84.9,3.0,5.0,35.0,321024.49,502303.19,3.873,1.122,470283.66000000003,604679.41,1.548,804719.24
5.08,50.39,1.0,0.0,1.0,17.72,67.81,1.0,90.33,11.68,8.38,91.11,48.61,7.27,33.0,49.785,68.59,31.0,19.03,29.07,45.94,98.16,1.0,24.47,53.08,1.0,62.57,0.0,70.72,34.0,1.0,49.0,657198.32,922221.73,0.914,2.495,164268.11,827458.42,1.532,618692.78
50.075,92.07,1.0,1.0,1.0,15.38,98.57,0.0,89.76,42.55,66.02,51.019999999999996,95.62,19.37,77.04,64.35,53.02,16.0,3.99,51.03,27.1,30.16,0.0,16.79,51.385,0.0,27.42,1.0,17.69,33.0,46.0,23.0,507706.45,455792.08,1.14,3.542,269588.28,686320.01,4.756,754058.2
2.2,62.89,0.0,1.0,0.0,56.11,35.75,0.0,41.14,50.05,13.95,44.12,45.96,87.73,80.5,57.44,62.65,7.0,49.165000000000006,50.44,63.37,88.16,0.0,56.09,92.81,0.0,34.51,0.0,48.96,23.0,18.0,29.0,972439.97,502303.19,2.753,4.636,396404.41,371871.16,4.95,94454.19
46.81,83.12,0.0,0.0,1.0,15.21,71.86,0.0,49.685,11.75,85.59,51.019999999999996,76.07,16.11,95.46,88.86,14.45,48.0,2.54,35.49,44.3,70.65,1.0,52.42,27.22,1.0,40.64,1.0,62.04,24.0,23.0,41.0,716539.49,33913.18,3.643,1.393,920283.67,872606.71,3.229,778599.3
45.12,33.51,0.0,0.0,0.0,69.36,9.58,1.0,76.35,67.37,77.35,51.42,3.8,91.09,68.61,23.27,16.81,4.0,1.1498,26.6,49.99,73.29,1.0,50.37,97.65,0.0,49.56,1.0,48.96,34.0,47.0,8.0,819038.15,393100.58,4.733,3.237,530139.36,206085.14,3.998,855586.64
48.73,4.54,1.0,0.0,1.0,49.945,10.25,1.0,95.0,93.84,35.04,28.34,66.29,59.78,72.67,87.51,68.0,0.0,9.93,88.53,56.23,82.7,0.0,66.78,51.385,1.0,87.32,1.0,71.22,28.0,20.0,24.0,429125.13,467913.37,2.5,2.477,470283.66000000003,985544.38,1.341,163162.39
52.66,48.67,1.0,0.0,0.0,16.89,86.93,1.0,5.64,89.63,71.58,60.24,35.63,54.02,8.85,74.37,34.8,25.0,4.44,76.39,91.4,29.72,1.0,44.01,51.385,1.0,13.24,0.0,35.96,36.0,40.0,8.0,86796.89,670354.83,3.445,2.495,623843.62,111791.01,2.777,387823.63
90.66,7.37,1.0,0.0,1.0,84.12,44.82,1.0,66.1,85.85,87.37,51.019999999999996,47.57,99.1235,69.58,5.8,33.48,26.0,65.43,21.91,11.37,58.22,1.0,33.85,16.88,0.0,66.7,0.0,51.12,17.0,10.0,24.0,835764.12,766223.1,1.428,4.349,331201.48,879567.98,4.181,657298.82
97.08,87.95,0.0,0.0,0.0,14.28,7.81,1.0,1.84,59.2,14.69,43.29,48.61,33.44,47.05,69.95,94.3,33.0,4.04,98.8956,60.41,94.17,1.0,2.19,76.4,1.0,89.95,0.0,95.18,30.0,23.0,17.0,597193.31,54915.89,1.925,2.495,74612.02,424229.88,2.5635000000000003,216761.27
38.68,50.39,1.0,1.0,1.0,84.64,49.62,1.0,95.32,86.2,80.03,35.82,48.61,72.73,49.855000000000004,82.22,50.32,9.0,94.91,84.02,19.72,25.38,1.0,39.91,47.44,1.0,54.3,0.0,32.65,49.0,5.0,45.0,781494.64,502303.19,2.355,1.114,24806.32,510709.83,0.506,519075.24
3.48,50.39,1.0,0.0,1.0,75.44,50.18,0.0,49.685,50.05,62.96,51.019999999999996,48.61,99.1235,64.08,80.86,58.22,17.0,88.29,63.93,89.64,6.31,1.0,80.63,51.385,0.0,74.06,0.0,94.04,5.0,41.0,2.0,359419.77,841902.36,2.5,0.763,935943.87,686301.8,2.808,356115.07
93.22,83.61,0.0,0.0,0.0,65.34,85.05,1.0,75.8,66.39,45.44,32.16,29.92,31.71,61.45,82.99,15.44,25.0,28.95,87.57,60.44,22.27,1.0,63.03,54.95,0.0,90.12,1.0,73.25,40.0,39.0,12.0,131361.07,187988.73,3.497,1.706,9725.6105,210960.08,1.323,324811.36
86.13,88.76,0.0,0.0,0.0,49.945,39.17,0.0,18.61,41.96,50.09,51.019999999999996,40.2,64.09,22.57,90.01,50.32,23.0,55.41,82.16,92.16,98.55,0.0,66.71,58.77,0.0,77.79,1.0,85.22,2.0,48.0,6.0,934127.74,378127.53,2.5,1.358,441791.11,771350.24,0.12,517615.2
50.075,40.93,0.0,0.0,1.0,69.74,8.53,0.0,63.9,76.63,35.36,9.32,29.1,53.36,90.96,22.3,3.61,34.0,34.1,12.71,22.47,7.56,1.0,87.09,33.15,0.0,84.03,1.0,83.33,15.0,23.0,24.0,659843.53,502303.19,0.969,2.85,355744.87,880466.58,4.283,967990.22
20.91,24.28,1.0,1.0,1.0,1.13,32.26,0.0,29.5,29.26,53.84,32.31,56.79,82.64,36.07,46.84,96.39,25.0,51.44,50.44,33.11,2.81,1.0,46.98,51.385,1.0,45.38,0.0,14.08,21.0,8.0,34.0,978158.18,48405.69,3.756,0.817,674923.03,459854.73,2.5635000000000003,652151.13
50.075,69.88,0.0,1.0,1.0,79.27,50.18,0.0,76.37,3.5,98.8434,35.28,90.44,21.6,37.28,6.72,80.0,25.0,76.53,50.44,26.36,69.67,0.0,25.16,78.35,0.0,84.86,0.0,74.6,6.0,14.0,48.0,174309.43,576056.89,4.868,3.699,746653.22,178141.83,4.852,501212.11
94.96,50.39,0.0,0.0,1.0,58.79,35.52,1.0,39.87,30.87,50.24,26.73,34.63,89.33,0.6567000000000001,8.81,66.8,25.0,3.68,87.82,39.22,42.95,0.0,51.35,51.385,1.0,15.13,0.0,29.89,33.0,12.0,8.0,507706.45,532701.45,2.5,1.303,194749.95,772756.86,2.878,984005.15
87.16,22.96,0.0,0.0,0.0,18.44,1.35,1.0,11.4,50.05,45.77,76.28,48.6,46.96,49.855000000000004,80.85,3.11,9.0,22.6,71.94,45.66,93.22,1.0,51.35,46.4,0.0,78.2,1.0,4.1,7.0,16.0,24.0,502083.28,851919.68,4.93318,0.812,276513.59,876830.08,2.5635000000000003,819382.05
22.62,23.59,0.0,1.0,1.0,23.82,12.32,0.0,49.46,37.06,24.26,12.85,78.17,30.93,84.62,65.03,12.53,25.0,40.14,57.21,66.06,38.59,1.0,17.17,51.385,0.0,56.67,0.0,10.99,14.0,43.0,24.0,383013.94,895945.44,4.183,0.994,586461.23,276597.03,1.007,128175.54
97.44,46.02,0.0,0.0,0.0,72.63,79.7,1.0,5.97,89.15,35.5,67.41,84.78,97.98,7.12,55.92,97.14,44.0,27.43,73.98,43.52,9.06,1.0,84.84,51.385,1.0,49.56,1.0,37.63,33.0,23.0,4.0,507706.45,109721.7,3.472,2.101,159442.77,901919.67,0.246,82760.09
9.19,70.22,0.0,1.0,0.0,28.8,10.25,1.0,83.12,9.13,21.19,56.32,79.42,20.61,53.49,50.03,68.75,9.0,20.39,44.04,26.97,45.38,1.0,10.47,51.385,1.0,49.56,1.0,85.24,8.0,47.0,14.0,510916.3,949103.16,3.455,1.318,293255.69,489154.76,0.294,684810.32
39.09,7.28,0.0,1.0,1.0,49.945,4.56,1.0,40.35,72.57,38.72,51.019999999999996,48.61,49.94,13.11,49.785,37.47,42.0,53.08,50.44,56.92,3.03,1.0,69.9,40.47,1.0,10.27,0.0,86.38,28.0,17.0,13.0,645877.2,468030.77,3.345,0.257,933673.69,10740.5142,3.36,501212.11
61.98,20.69,0.0,1.0,1.0,61.19,80.39,1.0,44.8,64.28,19.64,70.47,89.16,97.3,56.38,19.1,50.32,29.0,29.79,40.34,49.99,53.63,1.0,66.28,51.385,0.0,49.56,0.0,56.94,32.0,13.0,5.0,138555.7,71449.48,4.679,2.5,368759.08,898440.64,4.077,454080.92
